country,Total_vaccin,Nombre_vaccin_utilisé,Date
"South Korea",114311700,5,2022-01-29
Switzerland,15280231,3,2022-01-29
Ukraine,30279598,5,2022-01-29
"United States",537612342,3,2022-01-29
Uruguay,5576033,3,2022-01-29
Argentina,88263675,6,2022-01-30
Chile,33972002,4,2022-01-30
Czechia,16142881,3,2022-01-30
"European Union",803316469,9,2022-01-30
France,136516804,4,2022-01-30
Germany,165161003,5,2022-01-30
"Hong Kong",11115168,2,2022-01-30
Iceland,58241,4,2022-01-30
Italy,115783679,3,2022-01-30
Latvia,2522707,3,2022-01-30
Peru,56480884,3,2022-01-30
Romania,15565809,3,2022-01-30
"South Korea",114338621,5,2022-01-30
Switzerland,15282701,3,2022-01-30
Ukraine,30300581,5,2022-01-30
"United States",538355159,3,2022-01-30
Uruguay,5576034,3,2022-01-30
Argentina,88618810,6,2022-01-31
Chile,34000286,4,2022-01-31
Czechia,16173076,3,2022-01-31
"European Union",804251938,9,2022-01-31
France,136718273,4,2022-01-31
Germany,165392584,5,2022-01-31
"Hong Kong",11125600,2,2022-01-31
Iceland,60146,4,2022-01-31
Italy,116235799,3,2022-01-31
Latvia,2788692,4,2022-01-31
Peru,56705439,3,2022-01-31
Romania,15582497,3,2022-01-31
"South Korea",114359510,5,2022-01-31
Switzerland,15304274,3,2022-01-31
Ukraine,30366236,5,2022-01-31
"United States",538862361,3,2022-01-31
Uruguay,5585555,3,2022-01-31
Argentina,88956976,6,2022-02-01
Chile,34026012,4,2022-02-01
Czechia,16199156,3,2022-02-01
"European Union",805249890,9,2022-02-01
France,136951213,4,2022-02-01
Germany,165684128,5,2022-02-01
"Hong Kong",11125685,2,2022-02-01
Iceland,63171,4,2022-02-01
Italy,116661680,3,2022-02-01
Latvia,2793130,4,2022-02-01
Peru,56924994,3,2022-02-01
Romania,15599566,3,2022-02-01
"South Korea",114362709,5,2022-02-01
Switzerland,15323203,3,2022-02-01
Ukraine,30440828,5,2022-02-01
"United States",539445418,3,2022-02-01
Uruguay,5591232,3,2022-02-01
Argentina,89270093,6,2022-02-02
Chile,34050443,4,2022-02-02
Czechia,17112508,4,2022-02-02
"European Union",806280699,9,2022-02-02
France,137186139,4,2022-02-02
Germany,166044347,5,2022-02-02
"Hong Kong",11126002,2,2022-02-02
Iceland,67170,4,2022-02-02
Italy,117050286,3,2022-02-02
Latvia,2797772,4,2022-02-02
Peru,57126995,3,2022-02-02
Romania,15615751,3,2022-02-02
"South Korea",114376552,5,2022-02-02
Switzerland,15343227,3,2022-02-02
Ukraine,30514023,5,2022-02-02
"United States",540153008,3,2022-02-02
Uruguay,5598008,3,2022-02-02
Argentina,89547739,6,2022-02-03
Chile,34073173,4,2022-02-03
Czechia,16251809,3,2022-02-03
"European Union",807239100,9,2022-02-03
France,137396907,4,2022-02-03
Germany,166384943,5,2022-02-03
"Hong Kong",11151792,2,2022-02-03
Iceland,71068,4,2022-02-03
Italy,117411787,3,2022-02-03
Latvia,2802302,4,2022-02-03
Peru,57339266,3,2022-02-03
Romania,15630334,3,2022-02-03
"South Korea",114770541,5,2022-02-03
Switzerland,15360471,3,2022-02-03
Ukraine,30589327,5,2022-02-03
"United States",540932099,3,2022-02-03
Uruguay,5606730,3,2022-02-03
Argentina,89867315,6,2022-02-04
Austria,17826759,5,2022-02-04
Belgium,24378217,5,2022-02-04
Bulgaria,4204545,4,2022-02-04
Chile,34095169,4,2022-02-04
Croatia,5123998,4,2022-02-04
Cyprus,1622344,4,2022-02-04
Czechia,16288194,3,2022-02-04
Denmark,12096324,4,2022-02-04
Estonia,2000446,4,2022-02-04
"European Union",811881987,9,2022-02-04
Finland,11406995,4,2022-02-04
France,137713932,4,2022-02-04
Germany,166694020,5,2022-02-04
"Hong Kong",11208487,2,2022-02-04
Hungary,14054510,5,2022-02-04
Iceland,73329,4,2022-02-04
Ireland,9230333,3,2022-02-04
Italy,117780157,3,2022-02-04
Latvia,2545236,3,2022-02-04
Liechtenstein,69379,3,2022-02-04
Lithuania,4416641,4,2022-02-04
Luxembourg,1127040,4,2022-02-04
Malta,1183090,4,2022-02-04
Netherlands,33642012,5,2022-02-04
Norway,11104721,4,2022-02-04
Peru,57559632,3,2022-02-04
Poland,48996663,5,2022-02-04
Portugal,21220886,5,2022-02-04
Romania,16496535,4,2022-02-04
Slovakia,5867918,3,2022-02-04
Slovenia,2906505,4,2022-02-04
"South Korea",115178277,5,2022-02-04
Spain,97140804,4,2022-02-04
Sweden,18720645,4,2022-02-04
Switzerland,15382085,3,2022-02-04
Ukraine,30665677,5,2022-02-04
"United States",541519993,3,2022-02-04
Uruguay,5613242,3,2022-02-04
Argentina,90001769,6,2022-02-05
Chile,34096932,4,2022-02-05
Czechia,16293861,3,2022-02-05
"European Union",812619025,9,2022-02-05
France,137919502,4,2022-02-05
Germany,166839299,5,2022-02-05
"Hong Kong",11257530,2,2022-02-05
Iceland,73332,4,2022-02-05
Italy,118145602,3,2022-02-05
Latvia,2547307,3,2022-02-05
Peru,57790621,3,2022-02-05
Romania,15659990,3,2022-02-05
"South Korea",115408188,5,2022-02-05
Switzerland,15394485,3,2022-02-05
Ukraine,30699982,5,2022-02-05
"United States",542194343,3,2022-02-05
Uruguay,5613244,3,2022-02-05
Argentina,90092886,6,2022-02-06
Chile,34097117,4,2022-02-06
Czechia,16296155,3,2022-02-06
"European Union",812912555,9,2022-02-06
France,137960279,4,2022-02-06
Germany,166891331,5,2022-02-06
"Hong Kong",11298126,2,2022-02-06
Iceland,73333,4,2022-02-06
Italy,118336204,3,2022-02-06
Latvia,2547741,3,2022-02-06
Peru,57929989,3,2022-02-06
Romania,15667381,3,2022-02-06
"South Korea",115421573,5,2022-02-06
Switzerland,15396549,3,2022-02-06
Ukraine,30718608,5,2022-02-06
"United States",542738333,3,2022-02-06
Uruguay,5613244,3,2022-02-06
Argentina,90377443,6,2022-02-07
Chile,34123589,4,2022-02-07
Czechia,16312611,3,2022-02-07
"European Union",813602611,9,2022-02-07
France,138170840,4,2022-02-07
Germany,167056003,5,2022-02-07
"Hong Kong",11371501,2,2022-02-07
Iceland,73361,4,2022-02-07
Italy,118621064,3,2022-02-07
Latvia,2550377,3,2022-02-07
Peru,58122973,3,2022-02-07
Romania,15678252,3,2022-02-07
