country;total_vaccinations;Date;vaccine
Argentina;5088022;01/02/2022;Moderna
Argentina;447623;01/02/2022;CanSino
Argentina;19684994;31/01/2022;Sputnik V
Argentina;27220059;31/01/2022;Sinopharm/Beijing
Argentina;10710283;31/01/2022;Pfizer/BioNTech
Argentina;25582775;31/01/2022;Oxford/AstraZeneca
Argentina;4983496;31/01/2022;Moderna
Argentina;437203;31/01/2022;CanSino
Argentina;19630573;30/01/2022;Sputnik V
Argentina;27169999;30/01/2022;Sinopharm/Beijing
Argentina;10583619;30/01/2022;Pfizer/BioNTech
Argentina;25575498;30/01/2022;Oxford/AstraZeneca
Argentina;4876617;30/01/2022;Moderna
Argentina;427369;30/01/2022;CanSino
Argentina;19615586;29/01/2022;Sputnik V
Argentina;27158873;29/01/2022;Sinopharm/Beijing
Argentina;10546103;29/01/2022;Pfizer/BioNTech
Argentina;25574538;29/01/2022;Oxford/AstraZeneca
Argentina;4847996;29/01/2022;Moderna
Argentina;424461;29/01/2022;CanSino
Argentina;19589686;28/01/2022;Sputnik V
Argentina;27139040;28/01/2022;Sinopharm/Beijing
Argentina;10490983;28/01/2022;Pfizer/BioNTech
Argentina;25571957;28/01/2022;Oxford/AstraZeneca
Argentina;4799436;28/01/2022;Moderna
Argentina;420012;28/01/2022;CanSino
Argentina;19538549;27/01/2022;Sputnik V
Argentina;27084637;27/01/2022;Sinopharm/Beijing
Argentina;10366135;27/01/2022;Pfizer/BioNTech
Argentina;25562515;27/01/2022;Oxford/AstraZeneca
Argentina;4708873;27/01/2022;Moderna
Argentina;405871;27/01/2022;CanSino
Argentina;19482089;26/01/2022;Sputnik V
Argentina;27024613;26/01/2022;Sinopharm/Beijing
Argentina;10241552;26/01/2022;Pfizer/BioNTech
Argentina;25553116;26/01/2022;Oxford/AstraZeneca
Argentina;4622633;26/01/2022;Moderna
Argentina;393604;26/01/2022;CanSino
Argentina;19432010;25/01/2022;Sputnik V
Argentina;26969813;25/01/2022;Sinopharm/Beijing
Argentina;10117575;25/01/2022;Pfizer/BioNTech
Argentina;25543779;25/01/2022;Oxford/AstraZeneca
Argentina;4531547;25/01/2022;Moderna
Argentina;381772;25/01/2022;CanSino
Argentina;19387620;24/01/2022;Sputnik V
